|    Normal     | Preprocessed  | Test Name
|   41.43 UNSAT |       0 ERROR | biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-007.qdimacs
|         ERROR |       0 ERROR | biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-010.qdimacs
|     .04 UNSAT |       0 ERROR | BLOCKS3i.5.3.qdimacs
|     .05   SAT |       0 ERROR | BLOCKS3i.5.4.qdimacs
|       0 UNSAT |       0 ERROR | BLOCKS3ii.4.3.qdimacs
|       0 UNSAT |       0 ERROR | BLOCKS3ii.5.2.qdimacs
|     .03   SAT |       0 ERROR | BLOCKS3ii.5.3.qdimacs
|       0 UNSAT |       0 ERROR | BLOCKS3iii.4.qdimacs
|     .01   SAT |       0 ERROR | BLOCKS3iii.5.qdimacs
|     .36 UNSAT |       0 ERROR | BLOCKS4i.6.4.qdimacs
|     .14 UNSAT |       0 ERROR | BLOCKS4ii.7.2.qdimacs
|     .03 UNSAT |       0 ERROR | BLOCKS4iii.6.qdimacs
|     .25   SAT |       0 ERROR | c1_BMC_p1_k4.qdimacs
|   15.20   SAT |       0 ERROR | c3_BMC_p1_k256.qdimacs
|  115.18 ERROR |       0 ERROR | C432.blif_0.10_0.20_0_0_inp_exact.qdimacs
|         ERROR |       0 ERROR | C432.blif_0.10_0.20_0_0_out_exact.qdimacs
|         ERROR |       0 ERROR | C432.blif_0.10_0.20_0_1_inp_exact.qdimacs
|         ERROR |       0 ERROR | C432.blif_0.10_0.20_0_1_out_exact.qdimacs
|     .03 UNSAT |       0 ERROR | C432.blif_0.10_1.00_0_0_inp_exact.qdimacs
|     .06 UNSAT |       0 ERROR | C432.blif_0.10_1.00_0_0_out_exact.qdimacs
|       0   SAT |       0 ERROR | C432.blif_0.10_1.00_0_1_inp_exact.qdimacs
|       0   SAT |       0 ERROR | C432.blif_0.10_1.00_0_1_out_exact.qdimacs
|         ERROR |       0 ERROR | C499.blif_0.10_0.20_0_0_inp_exact.qdimacs
|  119.15 ERROR |       0 ERROR | C499.blif_0.10_0.20_0_0_out_exact.qdimacs
|  119.90 ERROR |       0 ERROR | C499.blif_0.10_0.20_0_1_inp_exact.qdimacs
